480.6	4.416	0.094
484.3	4.391	0.083
488.1	4.367	0.079
492	4.343	0.077
495.9	4.32	0.073
499.9	4.298	0.073
504	4.277	0.066
508.1	4.255	0.072
512.3	4.235	0.06
516.6	4.215	0.06
520.9	4.196	0.056
525.4	4.177	0.053
529.9	4.159	0.043
534.4	4.14	0.045
539.1	4.123	0.048
543.8	4.106	0.044
548.6	4.089	0.044
553.5	4.073	0.032
558.5	4.057	0.038
563.6	4.042	0.032
568.7	4.026	0.034
574	4.012	0.03
579.4	3.997	0.027
584.8	3.983	0.03
590.4	3.969	0.03
596.1	3.956	0.027
601.9	3.943	0.025
607.8	3.931	0.025
613.8	3.918	0.024
619.9	3.906	0.022
626.2	3.893	0.022
632.6	3.882	0.019
639.1	3.87	0.018
645.8	3.858	0.017
652.6	3.847	0.016
659.5	3.837	0.016
666.6	3.826	0.015
673.8	3.815	0.014
681.2	3.805	0.013
688.8	3.796	0.013
696.5	3.787	0.013
704.5	3.778	0.012
712.6	3.768	0.011
720.8	3.761	0.011
729.3	3.752	0.01
738	3.745	0.01
746.9	3.736	0.009
756	3.728	0.009
765.3	3.721	0.008
774.9	3.714	0.008
784.7	3.705	0.007
794.8	3.697	0.007
805.1	3.688	0.006
815.7	3.681	0.006
826.6	3.673	0.01
